,0,1,2,3,4
0,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
1,"Oceanaire Tower 1a, 18 Po Tai St, Ma On Shan, Hong Kong",,,,
2,"South Hillcrest, 3 Tuen Kwai Rd, Tuen Mun, Hong Kong",,,,
3,"Lake Silver Tower 1, 599 Sai Sha Rd, Lake Silver, Hong Kong",,,,
4,"Lake Silver Tower 1, 599 Sai Sha Rd, Lake Silver, Hong Kong",,,,
5,"Universal Towers, 18-26 Kin Wah St, North Point, Hong Kong",,,,
6,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
7,"South Hillcrest, 3 Tuen Kwai Rd, Tuen Mun, Hong Kong",,,,
8,"1 Austin Road West Kowloon Station, Yau Ma Tei, Hong Kong",,,,
9,"1 Austin Road West Kowloon Station, Yau Ma Tei, Hong Kong",,,,
10,"1 Austin Road West Kowloon Station, Yau Ma Tei, Hong Kong",,,,
11,"Cheung Hong Estate Hong Mei House, 12 Ching Hong Rd, Tsing Yi, Hong Kong",,,,
12,"Block 1, Site, 11 Whampoa St, Hung Hom, Hong Kong",,,,
13,"Luk Kwai House Kwai Chung Estate, Kwai Chung, Hong Kong",,,,
14,"Block 1, Site, 11 Whampoa St, Hung Hom, Hong Kong",,,,
15,"Celestial Heights 11 Celestial Avenue, 80 Sheung Shing St, Ho Man Tin, Hong Kong",,,,
16,"47號 Kai Tin Rd, Lam Tin, Hong Kong",,,,
17,"183 Ma Tau Wai Road, 183 Ma Tau Wai Rd, To Kwa Wan, Hong Kong","183 Ma Tau Wai Road, 183 Ma Tau Wai Rd, To Kwa Wan, Hong Kong",,,
18,"47號 Kai Tin Rd, Lam Tin, Hong Kong",,,,
19,"47號 Kai Tin Rd, Lam Tin, Hong Kong",,,,
20,"Villa Esplanada Block 1, 8 Nga Ying Chau St, Nga Ying Chau, Hong Kong",,,,
21,"Villa Esplanada Block 1, 8 Nga Ying Chau St, Nga Ying Chau, Hong Kong",,,,
22,"Ko Mong Building, 142-146 Shau Kei Wan Rd, Sai Wan Ho, Hong Kong",,,,
23,"9 On Muk St, Sha Tin, Hong Kong",,,,
24,"133 Hang Tau Rd, Kwu Tung, Hong Kong",,,,
